datetime,stage
2011-01-01,33.294456
2011-01-02,33.285312
2011-01-03,33.27312
2011-01-04,33.270072
2011-01-05,33.267024
2011-01-06,33.25788
2011-01-07,33.254832
2011-01-08,33.248736
2011-01-09,33.24264
2011-01-10,33.236544
2011-01-11,33.230448
2011-01-12,33.245688
2011-01-13,33.251784
2011-01-14,33.245688
2011-01-15,33.239592
2011-01-16,33.236544
2011-01-17,33.230448
2011-01-18,33.233496
2011-01-19,33.239592
2011-01-20,33.236544
2011-01-21,33.236544
2011-01-22,33.233496
2011-01-23,33.224352
2011-01-24,33.221304
2011-01-25,33.215208
2011-01-26,33.209112
2011-01-27,33.206064
2011-01-28,33.19692
2011-01-29,33.190824
2011-01-30,33.184728
2011-01-31,33.178632
2011-02-01,33.172536
2011-02-02,33.184728
2011-02-03,33.190824
2011-02-04,33.184728
2011-02-05,33.18168
2011-02-06,33.187776
2011-02-07,33.18168
2011-02-08,33.18168
2011-02-09,33.178632
2011-02-10,33.172536
2011-02-11,33.16644
2011-02-12,33.160344
2011-02-13,33.154248
2011-02-14,33.148152
2011-02-15,33.142056
2011-02-16,33.13596
2011-02-17,33.132912
2011-02-18,33.129864
2011-02-19,33.126816
2011-02-20,33.126816
2011-02-21,33.126816
2011-02-22,33.12072
2011-02-23,33.12072
2011-02-24,33.117672
2011-02-25,33.126816
2011-02-26,33.139008
2011-02-27,33.142056
2011-02-28,33.148152
2011-03-01,33.1512
2011-03-02,33.1512
2011-03-03,33.1512
2011-03-04,33.148152
2011-03-05,33.142056
2011-03-06,33.154248
2011-03-07,33.251784
2011-03-08,33.309696
2011-03-09,33.337128
2011-03-10,33.361512
2011-03-11,33.404184
2011-03-12,33.443808
2011-03-13,33.465144
2011-03-14,33.480384
2011-03-15,33.48648
2011-03-16,33.50172
2011-03-17,33.513912
2011-03-18,33.5322
2011-03-19,33.574872
2011-03-20,33.596208
2011-03-21,33.614496
2011-03-22,33.626688
2011-03-23,33.626688
2011-03-24,33.611448
2011-03-25,33.59316
