time,ShortWave,LongWave,AirTemp,RelHum,WindSpeed,Rain,Snow
2012-12-31 00:00:00,0.00,324.56,4.50,59.65,3.13,0.00,0
2012-12-31 01:00:00,0.00,331.47,4.46,60.48,3.01,0.00,0
2012-12-31 02:00:00,0.00,331.47,4.63,59.67,3.36,0.00,0
2012-12-31 03:00:00,0.00,331.47,4.79,58.91,3.72,0.00,0
2012-12-31 04:00:00,0.00,331.35,4.95,58.17,4.09,0.00,0
2012-12-31 05:00:00,0.00,331.34,4.89,59.70,3.56,0.00,0
2012-12-31 06:00:00,0.00,331.34,4.83,61.26,3.03,0.00,0
2012-12-31 07:00:00,0.00,337.82,4.77,62.82,2.51,0.00,0
2012-12-31 08:00:00,14.95,337.80,5.48,62.40,2.75,0.00,0
2012-12-31 09:00:00,52.78,337.79,6.19,61.89,3.05,0.00,0
2012-12-31 10:00:00,151.52,343.45,6.91,61.26,3.37,0.00,0
2012-12-31 11:00:00,202.20,343.42,7.94,62.78,3.79,0.00,0
2012-12-31 12:00:00,233.85,343.40,8.97,63.84,4.26,0.00,0
2012-12-31 13:00:00,288.41,346.80,10.00,64.50,4.78,0.00,0
2012-12-31 14:00:00,250.29,346.79,10.28,65.60,4.59,0.00,0
2012-12-31 15:00:00,191.24,346.79,10.56,66.63,4.41,0.00,0
2012-12-31 16:00:00,99.31,336.81,10.85,67.57,4.22,0.00,0
2012-12-31 17:00:00,10.93,336.82,10.04,70.71,4.09,0.00,0
2012-12-31 18:00:00,0.00,336.84,9.24,73.97,4.03,0.00,0
2012-12-31 19:00:00,0.00,325.12,8.44,77.39,4.08,0.00,0
2012-12-31 20:00:00,0.00,325.13,7.75,80.67,3.79,0.00,0
2012-12-31 21:00:00,0.00,325.14,7.06,84.10,3.51,0.00,0
2012-12-31 22:00:00,0.00,321.04,6.37,87.70,3.23,0.01,0
2012-12-31 23:00:00,0.00,321.05,6.05,86.96,3.21,0.01,0
2013-01-01 00:00:00,0.00,324.56,4.50,59.65,3.13,0.00,0
2013-01-01 01:00:00,0.00,331.47,4.46,60.48,3.01,0.00,0
2013-01-01 02:00:00,0.00,331.47,4.63,59.67,3.36,0.00,0
2013-01-01 03:00:00,0.00,331.47,4.79,58.91,3.72,0.00,0
2013-01-01 04:00:00,0.00,331.35,4.95,58.17,4.09,0.00,0
2013-01-01 05:00:00,0.00,331.34,4.89,59.70,3.56,0.00,0
2013-01-01 06:00:00,0.00,331.34,4.83,61.26,3.03,0.00,0
2013-01-01 07:00:00,0.00,337.82,4.77,62.82,2.51,0.00,0
2013-01-01 08:00:00,14.95,337.80,5.48,62.40,2.75,0.00,0
2013-01-01 09:00:00,52.78,337.79,6.19,61.89,3.05,0.00,0
2013-01-01 10:00:00,151.52,343.45,6.91,61.26,3.37,0.00,0
2013-01-01 11:00:00,202.20,343.42,7.94,62.78,3.79,0.00,0
2013-01-01 12:00:00,233.85,343.40,8.97,63.84,4.26,0.00,0
2013-01-01 13:00:00,288.41,346.80,10.00,64.50,4.78,0.00,0
2013-01-01 14:00:00,250.29,346.79,10.28,65.60,4.59,0.00,0
2013-01-01 15:00:00,191.24,346.79,10.56,66.63,4.41,0.00,0
2013-01-01 16:00:00,99.31,336.81,10.85,67.57,4.22,0.00,0
2013-01-01 17:00:00,10.93,336.82,10.04,70.71,4.09,0.00,0
2013-01-01 18:00:00,0.00,336.84,9.24,73.97,4.03,0.00,0
2013-01-01 19:00:00,0.00,325.12,8.44,77.39,4.08,0.00,0
2013-01-01 20:00:00,0.00,325.13,7.75,80.67,3.79,0.00,0
2013-01-01 21:00:00,0.00,325.14,7.06,84.10,3.51,0.00,0
2013-01-01 22:00:00,0.00,321.04,6.37,87.70,3.23,0.01,0
2013-01-01 23:00:00,0.00,321.05,6.05,86.96,3.21,0.01,0
2013-01-02 00:00:00,0.00,321.06,5.73,86.14,3.31,0.00,0
2013-01-02 01:00:00,0.00,319.61,5.40,85.30,3.54,0.00,0
2013-01-02 02:00:00,0.00,319.61,4.99,85.05,3.10,0.00,0
2013-01-02 03:00:00,0.00,319.62,4.58,84.72,2.66,0.00,0
2013-01-02 04:00:00,0.00,271.89,4.16,84.36,2.22,0.00,0
2013-01-02 05:00:00,0.00,271.90,3.60,84.84,2.96,0.00,0
2013-01-02 06:00:00,0.00,271.91,3.03,85.30,3.68,0.00,0
2013-01-02 07:00:00,0.00,301.32,2.46,85.67,4.42,0.00,0
2013-01-02 08:00:00,39.80,301.31,3.19,80.69,4.10,0.00,0
2013-01-02 09:00:00,141.22,301.30,3.91,76.07,3.80,0.00,0
2013-01-02 10:00:00,317.54,245.29,4.64,71.68,3.52,0.00,0
2013-01-02 11:00:00,424.03,245.28,5.32,66.38,3.43,0.00,0
2013-01-02 12:00:00,490.72,245.27,6.01,61.40,3.35,0.00,0
2013-01-02 13:00:00,477.70,252.48,6.70,56.75,3.29,0.00,0
2013-01-02 14:00:00,415.02,252.48,6.86,54.83,2.83,0.00,0
2013-01-02 15:00:00,317.76,252.48,7.02,52.94,2.37,0.00,0
2013-01-02 16:00:00,137.78,247.76,7.19,51.06,1.92,0.00,0
2013-01-02 17:00:00,16.61,247.77,6.10,55.63,1.27,0.00,0
2013-01-02 18:00:00,0.00,247.79,5.01,60.64,1.08,0.00,0
2013-01-02 19:00:00,0.00,262.30,3.92,66.14,1.52,0.00,0
2013-01-02 20:00:00,0.00,262.31,3.40,66.99,1.28,0.00,0
2013-01-02 21:00:00,0.00,262.31,2.88,67.82,1.17,0.00,0
2013-01-02 22:00:00,0.00,272.95,2.36,68.62,1.21,0.00,0
2013-01-02 23:00:00,0.00,272.95,2.04,70.44,1.29,0.00,0
2013-01-03 00:00:00,0.00,272.96,1.71,72.36,1.38,0.00,0
2013-01-03 01:00:00,0.00,245.00,1.39,74.28,1.48,0.00,0
2013-01-03 02:00:00,0.00,245.00,1.14,75.88,1.38,0.00,0
2013-01-03 03:00:00,0.00,245.01,0.90,77.46,1.29,0.00,0
2013-01-03 04:00:00,0.00,270.98,0.66,79.08,1.21,0.00,0
2013-01-03 05:00:00,0.00,270.98,0.44,81.00,1.03,0.00,0
2013-01-03 06:00:00,0.00,270.98,0.21,83.02,0.87,0.00,0
2013-01-03 07:00:00,0.00,311.82,-0.01,85.03,0.73,0.00,0
2013-01-03 08:00:00,30.77,311.80,1.09,79.35,0.72,0.00,0
2013-01-03 09:00:00,109.66,311.79,2.18,74.15,0.95,0.00,0
2013-01-03 10:00:00,212.42,310.18,3.28,69.29,1.28,0.00,0
2013-01-03 11:00:00,283.84,310.17,4.28,65.26,1.40,0.00,0
2013-01-03 12:00:00,328.69,310.15,5.28,61.50,1.54,0.00,0
2013-01-03 13:00:00,463.07,260.80,6.28,57.99,1.68,0.00,0
2013-01-03 14:00:00,402.77,260.80,6.68,55.57,2.23,0.00,0
2013-01-03 15:00:00,309.01,260.79,7.08,53.25,2.93,0.00,0
2013-01-03 16:00:00,141.71,244.30,7.48,51.02,3.70,0.00,0
2013-01-03 17:00:00,18.60,244.32,5.83,55.28,3.69,0.00,0
2013-01-03 18:00:00,0.00,244.35,4.18,59.91,3.81,0.00,0
2013-01-03 19:00:00,0.00,209.92,2.53,64.94,4.04,0.00,0
2013-01-03 20:00:00,0.00,209.93,1.70,63.98,4.28,0.00,0
2013-01-03 21:00:00,0.00,209.94,0.87,62.68,4.52,0.00,0
2013-01-03 22:00:00,0.00,207.78,0.05,60.95,4.74,0.00,0
2013-01-03 23:00:00,0.00,207.78,-0.35,62.39,4.98,0.00,0
2013-01-04 00:00:00,0.00,207.79,-0.75,63.86,5.22,0.00,0
2013-01-04 01:00:00,0.00,205.57,-1.15,65.38,5.46,0.00,0
2013-01-04 02:00:00,0.00,205.57,-1.53,67.39,5.40,0.00,0
2013-01-04 03:00:00,0.00,205.57,-1.91,69.46,5.36,0.00,0
2013-01-04 04:00:00,0.00,203.13,-2.28,71.55,5.33,0.00,0
2013-01-04 05:00:00,0.00,203.14,-2.67,73.75,4.89,0.00,0
2013-01-04 06:00:00,0.00,203.14,-3.06,76.02,4.46,0.00,0
2013-01-04 07:00:00,0.00,197.20,-3.45,78.38,4.02,0.00,0
2013-01-04 08:00:00,52.32,197.18,-2.11,71.54,5.17,0.00,0
2013-01-04 09:00:00,187.01,197.17,-0.78,65.42,6.33,0.00,0
2013-01-04 10:00:00,326.17,219.52,0.55,59.89,7.50,0.00,0
2013-01-04 11:00:00,436.08,219.51,1.94,55.28,7.44,0.00,0
2013-01-04 12:00:00,505.29,219.49,3.33,51.06,7.41,0.00,0
2013-01-04 13:00:00,476.30,244.15,4.72,47.20,7.39,0.00,0
2013-01-04 14:00:00,414.75,244.15,4.66,48.10,7.33,0.00,0
2013-01-04 15:00:00,318.86,244.15,4.60,49.01,7.28,0.00,0
2013-01-04 16:00:00,133.54,250.37,4.54,49.92,7.22,0.00,0
2013-01-04 17:00:00,18.96,250.38,3.29,54.83,7.45,0.00,0
2013-01-04 18:00:00,0.00,250.39,2.04,60.27,7.69,0.00,0
2013-01-04 19:00:00,0.00,208.22,0.78,66.35,7.94,0.00,0
2013-01-04 20:00:00,0.00,208.24,-0.23,69.92,8.18,0.00,0
2013-01-04 21:00:00,0.00,208.25,-1.23,73.63,8.42,0.00,0
2013-01-04 22:00:00,0.00,203.84,-2.24,77.60,8.68,0.00,0
2013-01-04 23:00:00,0.00,203.85,-2.62,79.71,7.84,0.00,0
2013-01-05 00:00:00,0.00,203.85,-3.00,81.88,6.99,0.00,0
2013-01-05 01:00:00,0.00,207.10,-3.38,84.12,6.15,0.00,0
2013-01-05 02:00:00,0.00,207.10,-3.28,82.85,6.73,0.00,0
2013-01-05 03:00:00,0.00,207.10,-3.17,81.54,7.31,0.00,0
2013-01-05 04:00:00,0.00,208.53,-3.07,80.30,7.90,0.00,0
2013-01-05 05:00:00,0.00,208.54,-3.22,80.83,7.01,0.00,0
2013-01-05 06:00:00,0.00,208.54,-3.37,81.37,6.14,0.00,0
2013-01-05 07:00:00,0.00,206.95,-3.53,81.97,5.27,0.00,0
2013-01-05 08:00:00,51.55,206.93,-1.98,74.34,4.71,0.00,0
2013-01-05 09:00:00,184.60,206.91,-0.44,67.55,4.16,0.00,0
2013-01-05 10:00:00,321.81,229.12,1.11,61.41,3.61,0.00,0
2013-01-05 11:00:00,430.47,229.10,2.71,55.70,2.06,0.00,0
2013-01-05 12:00:00,499.07,229.08,4.32,50.55,0.57,0.00,0
2013-01-05 13:00:00,493.49,241.10,5.92,45.96,1.11,0.00,0
2013-01-05 14:00:00,430.21,241.10,6.09,46.18,1.59,0.00,0
2013-01-05 15:00:00,331.44,241.09,6.26,46.38,2.08,0.00,0
2013-01-05 16:00:00,153.14,242.92,6.43,46.58,2.57,0.00,0
2013-01-05 17:00:00,23.39,242.93,4.78,52.96,2.82,0.00,0
2013-01-05 18:00:00,0.00,242.95,3.12,60.35,3.11,0.00,0
2013-01-05 19:00:00,0.00,288.60,1.46,68.87,3.45,0.00,0
2013-01-05 20:00:00,0.00,288.59,1.85,65.95,3.21,0.00,0
2013-01-05 21:00:00,0.00,288.59,2.24,63.15,3.00,0.00,0
2013-01-05 22:00:00,0.00,326.69,2.63,60.46,2.82,0.00,0
2013-01-05 23:00:00,0.00,326.69,2.70,61.34,2.64,0.00,0
2013-01-06 00:00:00,0.00,326.69,2.78,62.15,2.50,0.00,0
2013-01-06 01:00:00,0.00,314.95,2.86,62.96,2.44,0.00,0
2013-01-06 02:00:00,0.00,314.95,2.64,63.95,2.53,0.00,0
2013-01-06 03:00:00,0.00,314.95,2.41,65.01,2.66,0.00,0
2013-01-06 04:00:00,0.00,299.85,2.19,66.03,2.82,0.00,0
2013-01-06 05:00:00,0.00,299.85,2.09,66.94,2.74,0.00,0
2013-01-06 06:00:00,0.00,299.85,1.99,67.86,2.76,0.00,0
2013-01-06 07:00:00,0.00,277.86,1.89,68.79,2.90,0.00,0
