time,ShortWave,LongWave,AirTemp,RelHum,WindSpeed,Rain,Snow
2012-12-31 00:00:00,-8.65,174.9,-29.86,76.3,1.471,0,0
2012-12-31 01:00:00,-8.89,174.2,-29.65,76.5,1.71,0,0
2012-12-31 02:00:00,-8.45,173.1,-29.25,76.8,0.742,0,0
2012-12-31 03:00:00,-8.03,172.1,-28.59,77.6,0,0,0
2012-12-31 04:00:00,-8.82,172.7,-27.68,78.5,1.324,0,0
2012-12-31 05:00:00,-8.76,170,-27.06,78.9,3.128,0,0
2012-12-31 06:00:00,-8.97,168,-27.53,78.6,3.413,0,0
2012-12-31 07:00:00,-8.95,167.7,-27.32,78.8,3.463,0,0
2012-12-31 08:00:00,-9.1,167.6,-27.19,79.1,3.193,0,0
2012-12-31 09:00:00,-9.24,167.1,-26.56,79.6,2.793,0,0
2012-12-31 10:00:00,-9.11,167.7,-26.57,79.6,1.858,0,0
2012-12-31 11:00:00,-9,166.9,-26.64,79.6,0,0,0
2012-12-31 12:00:00,-7.843,167.5,-26.14,80.1,0.742,0,0
2012-12-31 13:00:00,-5.5,167.7,-25.67,80.6,1.434,0,0
2012-12-31 14:00:00,-6.108,166.2,-25.32,80.9,0.863,0,0
2012-12-31 15:00:00,-7.67,165.4,-25.4,80.6,0.055,0,0
2012-12-31 16:00:00,-9.01,166.3,-25.92,80.3,0.948,0,0
2012-12-31 17:00:00,-8.93,167.1,-26.17,80,0.144,0,0
2012-12-31 18:00:00,-8.82,168.5,-25.49,80.9,0.629,0,0
2012-12-31 19:00:00,-8.81,168.8,-24.89,81.4,1.369,0,0
2012-12-31 20:00:00,-9.01,169.7,-25.26,80.9,1.997,0,0
2012-12-31 21:00:00,-9.06,170.8,-24.91,81.6,0.174,0,0
2012-12-31 22:00:00,-8.79,172.3,-23.98,82.2,0.904,0,0
2012-12-31 23:00:00,-8.89,174.9,-23.83,82.4,1.625,0,0
2013-01-01 00:00:00,-8.55,179.9,-21.52,85.2,2.802,0,0
2013-01-01 01:00:00,-8.32,186.5,-18.06,88.1,3.174,0,0
2013-01-01 02:00:00,-8.61,189.5,-15.85,90.2,1.99,0,0
2013-01-01 03:00:00,-8.73,191.8,-14.62,91.4,3.089,0,0
2013-01-01 04:00:00,-8.41,191.6,-13.72,91.6,1.427,0,0
2013-01-01 05:00:00,-8.63,191.9,-15.46,89.8,2.867,0,0
2013-01-01 06:00:00,-8.61,192.4,-16.12,90,0.533,0,0
2013-01-01 07:00:00,-8.81,193.4,-16.47,89.1,0.454,0,0
2013-01-01 08:00:00,-9.11,194.9,-16.62,89.2,0.438,0,0
2013-01-01 09:00:00,-8.97,192.1,-17.02,89,1.535,0,0
2013-01-01 10:00:00,-8.17,197.8,-14.44,92,2.186,0,0
2013-01-01 11:00:00,-8.02,202.2,-12.62,92.8,2.672,0,0
2013-01-01 12:00:00,-7.591,205.1,-12.36,92.7,2.706,0,0
2013-01-01 13:00:00,-5.564,206.5,-12.28,93.4,2.014,0,0
2013-01-01 14:00:00,-4.885,216.1,-10.17,94.7,1.75,0,0
2013-01-01 15:00:00,-5.785,235.7,-9.11,95.5,0.583,0,0
2013-01-01 16:00:00,-6.209,252,-8.4,95.8,0.87,0,0
2013-01-01 17:00:00,-5.3,267.2,-8.11,96.1,0.908,0,0
2013-01-01 18:00:00,-6.459,259.6,-8.62,95.1,1.894,0,0
2013-01-01 19:00:00,-6.304,259.9,-8.16,96.2,1.666,0,0
2013-01-01 20:00:00,-5.645,260.9,-8.76,95.4,0.985,0,0
2013-01-01 21:00:00,-5.705,255.5,-12.94,91.2,1.379,0,0
2013-01-01 22:00:00,-5.608,257,-16.86,88.3,0.82,0,0
2013-01-01 23:00:00,-6.796,236.4,-19.53,87.2,3.064,0,0
2013-01-02 00:00:00,-6.601,243.1,-22.81,83.8,2.265,0,0
2013-01-02 01:00:00,-5.905,255.7,-23.43,83.7,2.531,0,0
2013-01-02 02:00:00,-6.597,253.3,-23.85,83.1,4.083,0,0
2013-01-02 03:00:00,-6.309,249.9,-24.92,82.1,3.233,0,0
2013-01-02 04:00:00,-6.317,245.3,-24.71,82.2,3.021,0,0
2013-01-02 05:00:00,-7.481,221.2,-24.62,82.3,1.372,0,0
2013-01-02 06:00:00,-7.739,208,-24.39,82.5,1.847,0,0
2013-01-02 07:00:00,-7.078,211.3,-24.5,82.3,2.139,0,0
2013-01-02 08:00:00,-6.883,218.4,-24.48,82.5,1.268,0,0
2013-01-02 09:00:00,-6.261,229.8,-24.01,82.9,0.558,0,0
2013-01-02 10:00:00,-5.572,236.7,-23.75,83,0.271,0,0
2013-01-02 11:00:00,-7.487,219.6,-23.62,83.2,0,0,0
2013-01-02 12:00:00,-6.228,204.3,-23.13,83.6,0.086,0,0
2013-01-02 13:00:00,-4.787,188.7,-22.73,84,0.152,0,0
2013-01-02 14:00:00,-3.97,186.5,-22.33,84.4,0,0,0
2013-01-02 15:00:00,-5.16,183.7,-21.62,85.1,0.432,0,0
2013-01-02 16:00:00,-6.432,179.9,-21.32,85.1,1.041,0,0
2013-01-02 17:00:00,-6.435,178.7,-22.41,84.4,0.964,0,0
2013-01-02 18:00:00,-6.353,177.7,-21.43,85.5,0.354,0,0
2013-01-02 19:00:00,-6.298,178.2,-20.27,86.3,0.478,0,0
2013-01-02 20:00:00,-6.175,179.9,-20.99,85.2,0.156,0,0
2013-01-02 21:00:00,-5.92,183.9,-22.03,84.9,3.873,0,0
2013-01-02 22:00:00,-4.99,202.2,-13.31,93.6,6.998,0,0
2013-01-02 23:00:00,-3.749,233.7,-7.95,93,7.944,0,0
2013-01-03 00:00:00,-4.078,235.5,-6.62,88,6.96,0,0
2013-01-03 01:00:00,-5.246,259.1,-6.51,82.1,7.695,0,0
2013-01-03 02:00:00,-4.649,257.3,-5.28,79,6.341,0,0
2013-01-03 03:00:00,-5.484,258.9,-4.95,78.7,7.664,0,0
2013-01-03 04:00:00,-5.393,259.4,-4.33,75.3,6.165,0,0
2013-01-03 05:00:00,-4.91,260.1,-4.94,79.6,6.919,0,0
