Assessed,Year,Semester,Module,School,State,Country,Longitude,Latitude
Yes,2017,Fall,1,Arrupe,Illinois,USA,-87.628088,41.89715
Yes,2018,Fall,2,Cincinnati,Ohio,USA,-84.515203,39.132255
Yes,2018,Spring,1,Colby,Maine,USA,-69.663505,44.563907
Yes,2019,Spring,3,Dartmouth,New Hampshire,USA,-72.288608,43.703642
Yes,2018,Spring,2,Dundalk,,Ireland,-6.406,53.9979
Yes,2018,Spring,2,Fairfield,Connecticut,USA,-73.264731,41.149916
No,,,,Florida International,Florida,USA,-80.372799,25.76019
No,2018,Fall,1,Geneva,,Switzerland,6.14516,46.199414
Yes,2018,Spring,2,Georgetown,Washington DC,USA,-77.073707,38.908588
Yes,2019,Spring,2,Girona,,Spain,2.84065,41.967303
Yes,2018,Fall,3,Iowa State,Iowa,USA,-93.644856,42.026124
Yes,2018,Spring,2,Longwood,Virginia,USA,-78.396862,37.297137
Yes,2018,Fall,2,Maine-Farmington,Maine,USA,-70.148286,44.667882
Yes,2017,Fall,1,Miami OH,Ohio,USA,-84.731445,39.510517
Yes,2018,Fall,2,Miami OH,Ohio,USA,-84.731445,39.510517
Yes,2018,Spring,2,Michigan State,Michigan,USA,-84.482762,42.701052
Yes,2019,Spring,3,Minnesota-TwinCities,Minnesota,USA,-93.18255,44.98537
Yes,2019,Spring,3,NE-GLEON,New York,USA,-73.733867,41.785173
Yes,2017,Fall,1,SUNY-New Paltz,New York,USA,-74.084908,41.738461
No,2018,Fall,2,University of Kansas,Kansas,USA,-95.26225,38.94625
No,,,,UW-Madison,Wisconsin,USA,-89.402887,43.077164
Yes,2017,Fall,1,Virginia Tech,Virginia,USA,-80.425219,37.228957
Yes,2017,Fall,2,Virginia Tech,Virginia,USA,-80.425219,37.228957
Yes,2018,Fall,2,Virginia Tech,Virginia,USA,-80.425219,37.228957
Yes,2018,Fall,3,Virginia Tech,Virginia,USA,-80.425219,37.228957
Yes,2019,Spring,2,Virginia Tech,Virginia,USA,-80.425219,37.228957
Yes,2018,Spring,1,WashState,Washington,USA,-119.263831,46.33084
Yes,2018,Fall,2,WashState,Washington,USA,-119.263831,46.33084
